"","ID","high_color","low_color","task","open_response","category","aware_binary","mentioned_speed_account","color_mentioned_text","mapping_stated","justification","rater_confidence","needs_human_review"
"83","5dfb75507caa1e89ad5df828","orange","blue","C","creo que siempre fueron aleatorios","none",0,"FALSO","","","El participante indica que los puntos “siempre fueron aleatorios”, negando una relación sistemática entre color y puntos, y no menciona ningún color ni mapeo.",95,"FALSO"
"84","5e5c993cd0394c474f7cc502","blue","orange","C","a partir del tercer bloque empexaba a poner atencion extra a los circulos azules porque parecian tener los puntos extras","correct",1,"FALSO","circulos azules","high_more","El participante dice que empezó a prestar atención a los círculos azules porque “parecían tener los puntos extras”, indicando explícitamente que el azul daba más puntos, lo cual coincide con el mapeo real (azul = alta recompensa).",93,"FALSO"
"85","5e830b929f2ed2018ec42099","orange","blue","C","Nunca pensé que afectaban, creí que era al azar.","none",0,"FALSO","","","El participante niega una relación entre el color y los puntos (“Nunca pensé que afectaban, creí que era al azar”) y no menciona ningún color ni mapeo específico.",94,"FALSO"
"86","5ea66d70b8b1aa67d638b824","blue","orange","C","Previamente no había pensado en esta cuestión. Mi mente estaba ocupada recordando el color del distractor en cada ejercicio mientras que mantenía la concentración en la pantalla.","none",0,"FALSO","color del distractor","","El participante dice que no había pensado en esa cuestión y solo estaba concentrado en recordar el color del distractor; no menciona puntos, recompensa/castigo ni ninguna relación color-recompensa.",9,"FALSO"
"87","5ecc71c95c92c2000a9e9a19","green","pink","C","Me di cuenta que los distractores de color verde daban más puntos y, además, eran los únicos que mostraban  un mensaje amarillo, mientras que los rojos daban menos de 100 puntos y no mostraban ningún mensaje, por lo que era más sencillo identificar los colores sin necesidad de prestarles demasiada atención.","correct",1,"FALSO","verde, rojos","high_more","El participante afirma explícitamente que los distractores verdes daban más puntos y contrasta con otro color (rojos) que daban menos, indicando una relación color-recompensa y especificando el mapeo con verde como el que da más puntos.",9,"FALSO"
"88","5ed02ffb8090240f93ab74ad","pink","green","C","Durante el experimento he pensado que los ensayos en los que se podía ganar puntos extra eran aquellos en los que el distractor era de color rosa.","correct",1,"FALSO","rosa","high_more","El participante afirma explícitamente que los ensayos con distractor rosa eran aquellos en los que se podía ganar puntos extra, indicando que el color rosa se asociaba con mayor recompensa. Esto coincide con el mapeo real (alta recompensa = rosa).",96,"FALSO"
"89","5f9e4fcd32203d402fdfeb9c","orange","blue","C","En la segunda tanda de experimentos comencé a prestar atención a si había un patrón en relación a los puntos extra, y me di cuenta que tenía que ver con la aparición del distractor naranja","correct",1,"FALSO","naranja","unclear","El participante indica que los puntos extra parecían relacionarse con la aparición del distractor naranja, pero no afirma explícitamente que el naranja diera más (o menos) puntos en comparación con el otro color.",86,"FALSO"
"90","5fb9adb28a52968d9f561808","green","pink","L","Solo pnesé que dependia de la rapidez de mi reespuesta al ensayo.","none",0,"VERDADERO","","","El participante atribuye los puntos a la rapidez de su respuesta y no menciona ninguna relación con el color ni un mapeo color-recompensa.",95,"FALSO"
"91","606167NK","blue","orange","C","Creo que te daba mas puntos también en funcion de la posición de distractor. Si el distractor estaba cerca del traget entonces eran menos puntos","none",0,"FALSO","","","El participante atribuye los puntos a la posición/proximidad del distractor al target (cerca = menos puntos) y no menciona ningún color ni una relación color-puntos.",95,"FALSO"
"92","607728dc0b4f8590b94ae57c","blue","orange","C","Me di cuenta que los puntos extras se otorgaban solo en las rondas en las que el distractor era de color azul.","correct",1,"FALSO","azul","high_more","El participante afirma explícitamente que los puntos extras se otorgaban solo cuando el distractor era azul, identificando a azul como el color asociado a mayor recompensa, lo cual coincide con el mapeo real (alta recompensa = azul).",93,"FALSO"
"93","607893faf75b80c8b2a14613","pink","green","C","Creo que la cantidad de puntos extras dependia del color del distractor y the la direción de la diagonal en el distractor.","none",0,"FALSO","","unclear","El participante indica que los puntos extra dependían del color del distractor (y también de la dirección de la diagonal), pero no especifica qué color (rosa vs. verde) daba más o menos puntos, por lo que no se puede verificar el mapeo correcto.",93,"FALSO"
"94","608f0f2703a37aceaf891392","pink","green","L","Sí, pensé en esta posibiilidad, pero no la asocié con el color del circulo, sino con cuando había circulos distractores y cuando no los había.","none",0,"FALSO","","","El participante dice explícitamente que no lo asoció con el color del círculo, sino con la presencia o ausencia de círculos distractores. No indica ningún mapeo color-recompensa.",9,"FALSO"
"95","60984a1b0cce76d16c4ca781","pink","green","C","no, no creo que dependieran de nada, no pensaba que estuviera relacionado con ganar si el color era rosa o verde","none",0,"FALSO","rosa o verde","","El participante niega explícitamente cualquier relación entre el color (rosa o verde) y ganar/puntos: ""no creo que dependieran de nada"" y ""no pensaba que estuviera relacionado con ganar"". No indica ningún mapeo color-recompensa.",95,"FALSO"
"96","60b531caec9b22e6e7dbe7c3","blue","orange","C","Las únicas ocasiones en donde me llegaron pensamientos durante el experimento fue cuando tenía algún error, que casi siempre era porque me lograba distraer, entonces cuando perdía pensaba algo como ''rayos'', pero podía seguir adelante. También creo que la primera prueba después de oprimir la barra espaciadora para empezar una nueva ronda, se me dificultaba un poco por tener que volver a transicionar al experimento aunque solo hayan pasado segundos, repito, eso solo con la primerísima prueba de cada ronda, ya después todo fluía bien.","none",0,"FALSO","","","El participante describe distracciones, errores y dificultad al inicio de cada ronda, pero no menciona colores ni puntos/bonos/castigos, ni sugiere una relación color-recompensa.",95,"FALSO"
"97","60b75660b357c3c448d05429","blue","orange","L","Sí, bajo mi percepción dependían si fallaba una o varios ensayos de forma consecutiva, cuando eso ocurría, por lo general, aparecían ensayos que daban puntos extra y recuperaba los puntos perdidos. De igual modo, me di cuenta durante el inicio del experimento que los ensayos con puntos extra tenían relación con el color azul.","correct",1,"FALSO","color azul","high_more","El participante indica explícitamente que “los ensayos con puntos extra tenían relación con el color azul”, atribuyendo más puntos/bonus al azul, lo cual coincide con el mapeo real (alta recompensa = azul).",9,"FALSO"
"98","60d0c85826ef72e1f37e5fda","orange","blue","C","No pense que dependieran de algo en específico simplemente intuí después de la segunda ronda que vendrían de 2 a 3 veces por bloque","none",0,"FALSO","","","El participante niega que los puntos dependieran de algo específico y no menciona ningún color ni un mapeo color-recompensa; solo comenta una intuición sobre la frecuencia (2 a 3 veces por bloque).",9,"FALSO"
"99","6130","orange","blue","C","Creo que no dependían, pero sí que es cierto que cuando aparecía el color naranja daban más veces puntos extras","correct",1,"FALSO","color naranja","high_more","Aunque inicialmente dice que cree que no dependían, explícitamente afirma que cuando aparecía el color naranja daban más veces puntos extras, indicando que naranja se asocia a mayor recompensa.",9,"FALSO"
"100","613a469755c08ab3b9d682ad","orange","blue","C","Cuando el distractor era color rojo me daban mas puntos o me quitaban mas si me equivocaba","correct",1,"FALSO","rojo","unclear","El participante afirma explícitamente que cuando el distractor era rojo le daban más puntos o le quitaban más si se equivocaba. Sin embargo, el par real de colores era naranja (alta) y azul (baja); no menciona naranja/azul y atribuye el efecto a un color (rojo) que no corresponde al mapeo real.",86,"FALSO"
"101","613a972033d79df11a6570de","orange","blue","C","Pensé que cuando el distractor estaba cerca del rombo me podía confundir más facilmente sobre la orientación de la línea en este. También creí que el color rojo era un confusor más fuerte que el azul.","none",0,"FALSO","rojo, azul","","El participante comenta que el distractor cerca del rombo lo confundía y que el color rojo era un confusor más fuerte que el azul, pero no menciona puntos/bonus/castigo ni una relación color-recompensa (además no menciona naranja).",92,"FALSO"
"102","614136TX","blue","orange","L","Pensaba que estaba un poco relacionado con que el distractor fuera de color azul. Es decir, que habías más probabilidades.","correct",1,"FALSO","azul","unclear","El participante sugiere una relación con que el distractor fuera de color azul (“un poco relacionado… más probabilidades”), pero no menciona explícitamente que el azul diera más (o menos) puntos/bonus/castigo ni especifica un mapeo color?recompensa.",88,"FALSO"
"103","615b8628e36642dc441f4711","pink","green","C","Creo que no he llegado a pensar sobre eso, la verdad. En todo caso quizá en algún momento me pareció que había más verdes que rosas... pero luego sobre el final creo que hubo uno rosa, así que dejé de pensar en eso como algo definitorio. Lo que también he pensado es que los mensajes sobre puntos y puntos extra eran una distracción tremenda.","none",0,"FALSO","verdes, rosas","","El participante dice que no llegó a pensar sobre una relación y solo comenta la frecuencia percibida de colores. Menciona que los mensajes sobre puntos eran una distracción, pero no afirma que algún color diera más/menos puntos ni establece un mapeo color-recompensa.",9,"FALSO"
"104","616335RM","orange","blue","C","Tan solo pensaba en ganar o perder puntos si aparecía un color","none",0,"FALSO","un color","unclear","El participante indica que pensaba en ganar o perder puntos cuando aparecía un color, lo que sugiere una relación color-puntos, pero no especifica qué color (naranja vs. azul) daba más o menos puntos.",87,"FALSO"
"105","617305abc8cde4cf0e08255b","blue","orange","L","La verdad que no he creído que se debía a nada en particular, sino que era parte del azar. En algún momento me he llegado a plantear que parecía que se ganaba más dinero cuando llevaba varias acertadas, pero no lo he asociado al color, porque al mirar hacia el centro para comprobar donde estaba el estímulo de color más la posición de la línea dentro del rombo no tenía mucho tiempo para poder fijarme en el color en sí, sino donde veía que se encontraba el que tenía un color distinto.","none",0,"FALSO","","","El participante niega una relación entre color y puntos, atribuyéndolo al azar y a rachas de aciertos; explícitamente dice que no lo ha asociado al color y que no tenía tiempo para fijarse en él. No indica ningún mapeo color-recompensa.",9,"FALSO"
"106","624042SJ","blue","orange","L","En general no he pensado en nada, pero al principio si intentaba buscarle la lógica pero luego he parado.","none",0,"FALSO","","","El participante dice que no ha pensado en nada y que dejó de buscar una lógica; no menciona colores ni una relación color-puntos/recompensa, ni un mapeo específico.",9,"FALSO"
"107","627441JW","pink","green","L","Pensé que dependia del azar para ver como reaciono en los ensayos siguientes segun si gané o perdi. ","none",0,"FALSO","","","El participante atribuye el resultado a ""azar"" y a cómo reacciona en ensayos siguientes según si ganó o perdió, sin mencionar colores ni una relación color-puntos.",93,"FALSO"
"108","630800QC","blue","orange","C","Pensaba que la letra jota estaba relacionada con el color naranja y que aparecían más R después del color naranja que del color azul ","none",0,"FALSO","naranja, azul","unclear","El participante menciona una relación entre el color (naranja vs. azul) y la aparición de letras (más R después del naranja), pero no menciona puntos/bonus/castigo ni un mapeo color?recompensa; por tanto solo sugiere una contingencia por color no relacionada explícitamente con la recompensa.",88,"FALSO"
"109","6397","orange","blue","L","Durante el experimento, ha habido algún ensayo en el que, al ver los puntos extras, he pensado que esto podría ocurrir después de que se presentase el estímulo distractor de color naranja, porque me ha dado la sensación de que sucedía después de que apareciera ese color. No obstante, no ha sido un aspecto que haya tenido en cuenta durante todo el experimento, ha sido más bien de manera espontánea y momentánea, pues estaba concentrada en responder bien a lo que se me pedía.","correct",1,"FALSO","color naranja","unclear","La participante sugiere que los puntos extra parecían ocurrir tras el distractor naranja (“podría ocurrir… después… de color naranja”), pero no afirma explícitamente que el naranja diera MÁS puntos que el otro color ni menciona el color alternativo o una comparación clara de mapeo.",85,"FALSO"
"110","6453c29faab6977890801023","blue","orange","L","Estaba tan concentrada en no perder puntos, que no llegué a considerar si dependía del color o no ","none",0,"FALSO","color","","La participante dice explícitamente que no llegó a considerar si los puntos dependían del color, sin indicar ningún mapeo color-recompensa ni afirmar que hubiera relación.",9,"FALSO"
"111","648b962b8fdb1fa686213ac1","orange","blue","C","Pensé que me estaban cagando y que sabían exactamente cuando me distraía para preguntar color","none",0,"FALSO","","","El participante expresa sospecha de que el sistema detectaba cuándo se distraía para preguntar el color, pero no menciona ningún color específico ni relaciona colores con más/menos puntos o castigos.",9,"FALSO"
"112","6497e970e2621e753513a695","green","pink","L","Durante el experimento, no pensé en este problema en absoluto. Este experimento fue muy interesante y estoy feliz de haber sido parte de él. ","none",0,"FALSO","","","El participante indica que no pensó en el problema en absoluto durante el experimento y no menciona colores ni una relación entre color y puntos/recompensa.",96,"FALSO"
"113","649dba79b97070557ebe3d0b","orange","blue","C","a menos de que me lo este imaginando note que con los distractores de color naranja, sin importar la orientacion del rombo se podian ganar/perder mas puntos extra comparado con el distractor azul","correct",1,"FALSO","naranja, azul","high_more","El participante indica que con distractores naranjas ""se podian ganar/perder mas puntos extra"" comparado con el distractor azul, lo que especifica explícitamente que el naranja daba más consecuencias de puntos que el azul. Esto coincide con el mapeo real (alta recompensa: naranja; baja: azul).",93,"FALSO"
"114","650dacdf4de6cd2dbe2efca7","orange","blue","L","Sí, en una ronda llegue a pensar que las que fallaba eran todas puntos extra.
","none",0,"FALSO","","","El participante menciona pensar que los fallos daban 'puntos extra', pero no menciona ningún color ni una relación color-puntos; atribuye los puntos a fallar, no al color del distractor.",9,"FALSO"
"115","651033d039c135459ac83d8f","pink","green","L","Los colores de color rosado tenian mayor puntaje de ganancia que los verdes, aunque los dos tenian puntos extra","correct",1,"FALSO","rosado y verdes","high_more","El participante afirma explícitamente que los distractores rosados tenían mayor puntaje de ganancia que los verdes, lo que coincide con el mapeo real (alta recompensa: pink; baja: green).",93,"FALSO"
"116","652807YU","blue","orange","C","La verdad es que no es algo en lo que haya pensado. Pensaba que era algo totalmente al azar y que se restaban o sumaban puntos de manera aleatoria
","none",0,"FALSO","","","El participante dice que pensaba que era “totalmente al azar” y que los puntos se sumaban/restaban de manera aleatoria, negando cualquier relación con el color y sin indicar ningún mapeo color-recompensa.",95,"FALSO"
"117","6550edd3c5d5a51c51ab1224","pink","green","L","El experimento fue un poco desafiante, pero me gustó el desafío. Hizo que mis ojos y manos se movieran más rápido de lo que pensé que podrían. Fue un gran experimento.","none",0,"VERDADERO","","","El participante solo comenta que el experimento fue desafiante y que movió ojos y manos más rápido; no menciona colores ni puntos/recompensa ni una relación color-puntos.",94,"FALSO"
"118","65b96f3bbecf5e7d0f5853cd","green","pink","L","Pues si pense que los puntos extras estaban relacionado con los circulos verdes y también si el puntaje era alto, era mas probable que el ensayo apareciera.","correct",1,"FALSO","circulos verdes","unclear","El participante indica que pensó que los puntos extra estaban relacionados con los círculos verdes, pero no afirma explícitamente que el verde diera MÁS (o MENOS) puntos en comparación con el otro color del par; tampoco menciona el rosa ni un mapeo direccional claro.",86,"FALSO"
"119","65bfeee402717f25d2f8ddae","green","pink","C","No, durante el experimento no pensé que dependieran de algo. De hecho pensaba que era al azar si habían puntos extra o no. No se me pasó por la mente que tuvieran relación con el color de los distractores.","none",0,"FALSO","color de los distractores","","El participante niega explícitamente cualquier relación entre puntos extra y el color, indicando que pensaba que era al azar y que no se le ocurrió que tuviera relación con el color de los distractores; no proporciona ningún mapeo color-recompensa.",98,"FALSO"
"120","65e60f3d21e5a18ab0ce11ef","orange","blue","L","Creo que en los momentos en donde aparecían colores eran los momentos de bonus de puntos, sin importar si era naranja o azul, pero personalmente creo que eran mas cantidad de puntos cuando el distractor era color naranja","correct",1,"FALSO","naranja o azul","high_more","El participante afirma explícitamente que ""eran mas cantidad de puntos cuando el distractor era color naranja"", lo que coincide con el mapeo real donde naranja es ALTA recompensa frente a azul (BAJA).",93,"FALSO"
"121","65f2f5ae1f9747ed36bd7226","orange","blue","L","Durante el experimento, pensé que los ensayos iban a depender de la velocidad en la que respondía correctamente. A mayor velocidad, mayor bono. Es la sensación que tuve mientras hacía el experimento.","none",0,"VERDADERO","","","Atribuye el bono a la velocidad de respuesta (“A mayor velocidad, mayor bono”) y no menciona ningún color ni una relación color?puntos.",95,"FALSO"
"122","66311bae532a469f4858933e","green","pink","C","No creí que estuvieran relacionadas las situaciones donde los puntos de los ensaños se multiplicaban por 10 y los colores de los distractores, aunque pienso que durante el experimento, me encontraba con una mayor cantidad de distractores verdes.","none",0,"FALSO","verdes","","El participante explícitamente niega que hubiera relación entre los puntos multiplicados por 10 y los colores de los distractores; solo comenta que vio más distractores verdes, sin vincular color con mayor/menor recompensa.",96,"FALSO"
"123","665dd7572d061d3ee4defd4e","green","pink","L","La verdad es que no. Yo me he limitado a seguir las instrucciones del experimento y hacer lo mejor posible en todo momento. En ningún momento se me ha pasado por la cabeza que podía haber relación entre el color del distractor con la cantidad de puntos, de hecho no le prestaba atención al color del distractor, solo me importaba si se presentaba o no.","none",0,"FALSO","color del distractor","","El participante niega explícitamente haber notado una relación entre el color del distractor y los puntos y afirma que no prestaba atención al color.",95,"FALSO"
"124","66676e9de30c99b6eaa0b5a3","orange","blue","L","none","none",0,"FALSO","","","El participante respondió literalmente ""none"", sin mencionar colores, puntos/recompensa ni ninguna relación color-recompensa.",99,"FALSO"
"125","66689a7d46d958da3b4cbc9b","orange","blue","L","Pensé que las ganancias extras podían ser por acertar varias seguidas.","none",0,"FALSO","","","Atribuye las ganancias extra a acertar varias seguidas (racha/desempeño), sin mencionar colores ni una relación color-puntos.",9,"FALSO"
"126","666966e191c8b2160fedc2c9","pink","green","L","En ningún momento durante el experimento pensé sobre esta cuestión","none",0,"FALSO","","","El participante indica que no pensó en esta cuestión durante el experimento, sin mencionar colores ni relación entre color y puntos/recompensa.",93,"FALSO"
"127","666b12db1c593ca3d960946a","orange","blue","C","Al principio he pensado que quizás se repetían periódicamente cada cierto tiempo.
También he pensado en el efecto que tienen sobre la puntuación final, ya que hace que en cierto modo la comparativa de puntos sea injusta ya que de forma aleatoria algunos errores se pagan más caro que otros.
También he pensado que los niveles a los que se puede llegar simplemente son una forma de motivar a la gente a hacerlo mejor, y que la puntuación con que se desbloquea cada uno sea falsa y todo el mundo acabe en el último nivel para hacer la experiencia más agradable.","none",0,"FALSO","","","El participante habla de que los errores se pagan “de forma aleatoria” y que la puntuación puede ser falsa o motivacional, pero no menciona ningún color ni una relación específica color?puntos; más bien niega una contingencia sistemática.",9,"FALSO"
"128","666b25abec3b7792586f09ae","pink","green","C","no he pensado en ningún momento que el color podía tener relación, imaginaba que sería todo aleatorio","none",0,"FALSO","el color","","El participante niega haber pensado que el color tuviera relación con los puntos y dice que imaginaba que era todo aleatorio; no indica ningún mapeo color-recompensa.",95,"FALSO"
"129","66797190b58852a844a7dd8b","green","pink","C","No he pensado sobre esta cuestión.","none",0,"FALSO","","","El participante indica que no ha pensado sobre la cuestión, sin mencionar colores ni relación con puntos/recompensa.",95,"FALSO"
"130","667d868313d81a3a6616715b","pink","green","L","Solo sé que en el rosa ganaba o perdía más puntos.","correct",1,"FALSO","rosa","high_more","El participante afirma explícitamente que con el color rosa “ganaba o perdía más puntos”, indicando que ese color estaba asociado a una magnitud mayor de puntos (más recompensa/castigo). Esto coincide con el mapeo real donde rosa es el color de alta recompensa.",9,"FALSO"
"131","667eb800bfabc02fd55f525d","orange","blue","C","No recuerdo haber leído en las instrucciones del experimento lo de los puntos extras. O si lo he leído, lo he interpretado de otra manera. Cuando me ha aparecido por primera vez creia que era para distraer, al ser un color tan resaltado.","none",0,"FALSO","un color tan resaltado","","El participante dice no recordar haber leído lo de los puntos extra y que interpretó el color resaltado como una distracción; no indica ninguna relación color?puntos ni un mapeo específico (naranja vs azul).",9,"FALSO"
"132","66ae2d797f6f397345f66a83","blue","orange","L","none","none",0,"FALSO","","","El participante escribió literalmente ""none"", sin mencionar colores ni relación entre color y puntos/recompensa.",99,"FALSO"
"133","66ca0a6b19da058b82d8637d","blue","orange","L","No he pensado sobre esa cuestion durante el experimento ni tampoco he tenido ningun otro pensamiento durante el experimento","none",0,"FALSO","","","El participante dice que no pensó sobre la cuestión durante el experimento y no reporta haber notado ninguna relación entre color y puntos; no menciona colores ni recompensas.",93,"FALSO"
"134","66d4d4c9d991eff770dec514","pink","green","L","La verdad es que no pense para nada en esto por que estaba muy concentrado en obtener los puntos que ni pude hacer tiempo para pensar en un patron importante que me podria ayudar a resolver las tareas de mejor manera.","none",0,"FALSO","","","El participante dice que no pensó en ello y que estaba concentrado en obtener puntos; no menciona colores ni una relación color-puntos ni un mapeo específico.",93,"FALSO"
"135","66d5c9478a1903142fa4a5fa","blue","orange","C","Al principio pensaba que los ensayos en los que podía ganar puntos extras dependían de si respondía rápidamente, pero conforme el experimento iba avanzando pensé que las rondas en las que ganaba puntos extra eran totalmente al azar, ya que a veces respondía más tarde y aún así ganaba los puntos extras. En un momento también pensé que ganaba puntos extras si respondía varias rondas correctamente (por ejemplo 3 o 5 rondas seguidas respondidas correctamente)","none",0,"VERDADERO","","","El participante atribuye los puntos extra primero a responder rápido, luego dice que era “totalmente al azar”, y también considera rachas de respuestas correctas; no menciona ningún color ni una relación color?puntos.",95,"FALSO"
"136","66f2cda61eca757d3b81910a","orange","blue","L","Se me pasó por la cabeza que podría estar relacionado con el hecho de haber un distractor, cuando no había ningún distractor creo que no se daban puntos extras.","none",0,"FALSO","","","El participante no menciona ningún color ni un mapeo color?puntos. Atribuye los puntos extra a la presencia/ausencia de distractor (""cuando no había ningún distractor creo que no se daban puntos extras""), no a un color específico.",9,"FALSO"
"137","671e44416880325270334742","green","pink","L","No lo he pensando, y dudo.","none",0,"FALSO","","","El participante indica que no lo ha pensado y que duda; no menciona colores ni relación entre color y puntos/recompensa, ni propone ningún mapeo.",92,"FALSO"
"138","672035WB","blue","orange","L","Pensaba que los puntos extra eran al azar, no dependían de nada.","none",0,"FALSO","","","El participante dice explícitamente que los puntos extra eran “al azar” y “no dependían de nada”, negando cualquier relación con el color o un mapeo específico.",95,"FALSO"
"139","6735b697786ff1e56d0be0b7","orange","blue","L","Al principio pense que tenia que ver mas con el tiempo de reaccion, que si tenia que ver algo ya que cuando tardabas daba 0 puntos. Pero despues pense que era por rachas lo cual descarte rapidamente cuando vi que no habia patron. 
Pero realmente nunca pense que tuviera que ver con el color del distractor.
","none",0,"VERDADERO","color del distractor (sin especificar colores)","","El participante dice explícitamente que nunca pensó que los puntos tuvieran que ver con el color del distractor; atribuye los puntos inicialmente al tiempo de reacción y luego a rachas/patrón, pero concluye que no había patrón y niega relación con el color. No indica ningún mapeo color-recompensa.",95,"FALSO"
"140","673b187e361d9bf2c0bd04ea","pink","green","L","pienso que los ensayos en los q podia ganar puntos quizas tenian q ver con el distractor d color verde y en los q perdía puntos en el rosa. lo he pensado brevemente, tengo poca confianza en mi respuesta ya que me he dedicado a intentar pulsar bien J y B y C y M asi q no he pensado mucho mas en el tema d ganar o perder puntos","none",0,"FALSO","verde, rosa","low_more","El participante propone explícitamente que con distractor verde ganaba puntos y con rosa los perdía. El mapeo real era lo contrario (rosa = alta recompensa, verde = baja), por lo que su mapeo es incorrecto.",9,"FALSO"
"141","680812LT","orange","blue","C","A medida que avanzaba el experimento, me di cuenta de que por muy rápido que respondiera en todas, el azul nunca me iba a dar tantos puntos como con el naranja. Y en la perdida de puntos pasaba igual; cuando fallaba con los naranjas, me restaban muchos mas puntos que con fallos en el azul.
E incluso, cuando no había ningún color, la respuesta acertada o fallada, no me daban/quitaban tantos puntos como con el naranja.
Lo que si es verdad, es que según lo que tardara en responder, tanto si acertaba como si fallaba, los puntos que conseguía/perdia eran mayor cuanto menos tardaba en responder.","correct",1,"VERDADERO","azul, naranja","high_more","El participante indica explícitamente que el naranja daba más puntos que el azul y que al fallar con naranja restaban más puntos que con azul, lo que implica que el color naranja estaba asociado a una magnitud mayor de recompensa/castigo. También menciona que la rapidez modulaba los puntos, pero mantiene el mapeo por color (naranja > azul).",94,"FALSO"
"142","688553YH","orange","blue","L","No he pensado sobre las relaciones pues estaba demasiado inmersa en hacer bien la tarea","none",0,"FALSO","","","La participante dice que no pensó sobre posibles relaciones porque estaba enfocada en hacer bien la tarea; no menciona colores ni una relación color-puntos.",93,"FALSO"
"143","706832CB","pink","green","L","No pensé en ningún momento sobre ello.","none",0,"FALSO","","","El participante afirma que no pensó en ello en ningún momento, sin mencionar colores, puntos ni una relación color-recompensa.",95,"FALSO"
"144","740578MJ","blue","orange","L","He pensado que la puntuación extra se debía a qué el distractor se encontraba en un lado y el rombo se encontraba en el punto ciego, por eso la puntuación extra. Al igual que cuando no se encontraba ningún distractor tampoco había puntuación extra.","none",0,"FALSO","","","Atribuye la puntuación extra a la posición (lado/punto ciego) y a la presencia/ausencia de distractor, sin mencionar colores ni una relación color-puntos.",94,"FALSO"
"145","745720MS","pink","green","C","No he detectado ningún patrón en concreto, pero si que me daba cuenta que a veces aunque creía que había tardado más en darle, ganaba más puntos que otras veces que había sido más rápida. Y viendo la cantidad de puntos que me quitaban cuando me equivocaba veía que debía depender de algo más allá del tiempo, porque no me cuadraba.","none",0,"VERDADERO","","","El participante dice explícitamente que no ha detectado ningún patrón y no menciona colores ni un mapeo color-puntos; solo comenta que los puntos no parecían depender únicamente del tiempo/rapidez y que debía depender de algo más.",9,"FALSO"
"146","746677FD","blue","orange","L","Yo pensaba que los puntos que ganaba se basaban en el RT de mi respuesta, es decir, que si contestaba más rápido ganaba más puntos que si contestaba más tarde. Luego, si perdía puntos creía que perdía más si contestaba tarde y además, lo hacía mal, pero si contestaba rápido y fallaba, perdía menos puntos.","none",0,"VERDADERO","","","El participante atribuye explícitamente la ganancia/pérdida de puntos al tiempo de reacción (RT) y al acierto/error, sin mencionar ningún color ni una relación color?puntos.",95,"FALSO"
"147","752354KU","orange","blue","C","Los puntos extras salían cuando el circulo era naranja, ganabas muchos más puntos cuando era naranja que cuando era azul. aunque cuando salía la R no creo que importara tanto el color.","correct",1,"FALSO","naranja, azul","high_more","El participante indica explícitamente que los puntos extras salían cuando el círculo era naranja y que ganabas muchos más puntos cuando era naranja que cuando era azul, lo que coincide con el mapeo real (alta recompensa = naranja, baja = azul).",95,"FALSO"
"148","754725AE","pink","green","C","Sentía que cada vez que me confundía, siempre se trataba de puntos extras, porque cada vez que fallaba me quitaban muchísimos puntos.","none",0,"FALSO","","","El participante habla de que al fallar le quitaban muchos puntos y que parecía tratarse de puntos extra, pero no menciona ningún color ni una relación específica entre color y puntos.",9,"FALSO"
"149","770031BJ","orange","blue","L","No había pensado en que estuviese relacionado con nada","none",0,"FALSO","","","El participante indica que no había pensado que estuviese relacionado con nada, negando implícitamente que hubiera una relación entre color y puntos/recompensa; no menciona colores ni un mapeo específico.",93,"FALSO"
"150","771847PM","orange","blue","C","NO lo tengo muy claro ","none",0,"FALSO","","","El participante dice “NO lo tengo muy claro” y no menciona colores ni una relación entre color y puntos/recompensa, ni establece un mapeo específico.",93,"FALSO"
"151","806173HG","pink","green","C","Yo sentia que me salian mejor los rosas,no se si el color llamaba mas mi atencion o que. Ademas, las veces en las que mas solia fallar la barra horizontal del rombo eran cuando el color era verde. Creo que me motivaba mas con el color rosa porque daba mas puntos","correct",1,"FALSO","rosas, verde","high_more","El participante afirma explícitamente que el color rosa “daba mas puntos” y contrasta con verde, lo cual coincide con el mapeo real (alta recompensa: rosa; baja: verde).",94,"FALSO"
"152","807434IL","orange","blue","C","Realmente no pensé en los puntos extras pero lo que sí llegué a pensar es que los rombos podrían tener algún tipo de serie que haga que las respuestas sean más predecibles al conocer de dicho código o a lo mejor solamente fue mera coincidencia","none",0,"FALSO","","","El participante dice que no pensó en los puntos extra y solo especula sobre una posible “serie/código” o que fue coincidencia; no menciona colores ni un mapeo color?puntos.",9,"FALSO"
"153","807474IP","green","pink","L","Me puse a pensar en si dependía de la rapidez con la que repondía la opción correcta, pero me fijé en disitntos ensayos que hice y no parecía ser esta la causa, así que asumí que la puntuación estaba aleatorizada.","none",0,"VERDADERO","","","Atribuye inicialmente la puntuación a la rapidez, pero concluye que no era la causa y asume que la puntuación estaba aleatorizada; no menciona ningún color ni relación color-puntos.",92,"FALSO"
"154","823688RR","pink","green","C","none","none",0,"FALSO","","","El participante respondió ""none"", sin mencionar colores ni una relación entre color y puntos/recompensa.",99,"FALSO"
"155","826775II","pink","green","L","Pensaba que eran totalmente aleatorios. No me he fijado mucho en eso, simplemente me alegraba cuando recibía puntos extra.","none",0,"FALSO","","","El participante afirma que pensaba que los puntos eran “totalmente aleatorios” y que no se fijó en una relación; no menciona ningún color ni mapeo color?recompensa.",95,"FALSO"
